director_name_id,director_name,actor_name,,
2,Gore Verbinski,Johnny Depp,,
80,Eric Darnell,Benedict Cumberbatch,,
117,Paul Greengrass,Matt Damon,,
118,Mark Osborne,Angelina Jolie Pitt,,
119,Peyton Reed,Judy Greer,,
71,Francis Lawrence,Jennifer Lawrence,,
112,Bill Condon,Robert Pattinson,,
120,Tim Johnson,Jim Parsons,,
39,Steven Spielberg,Tom Cruise,,
28,Michael Bay,Will Smith,,
75,Chris Miller,Salma Hayek,,
121,Phillip Noyce,Angelina Jolie Pitt,,
122,Darren Aronofsky,Anthony Hopkins,,
39,Steven Spielberg,Toby Jones,,
123,Alfonso Cuarón,Daniel Radcliffe,,
36,Baz Luhrmann,Essie Davis,,
94,M. Night Shyamalan,Will Smith,,
124,Eric Leighton,Alfre Woodard,,
125,Matt Birch,Rupert Grint,,
81,Shawn Levy,Robin Williams,,
126,Tom McGrath,J.K. Simmons,,
127,Chris Columbus,Daniel Radcliffe,,
128,Robert Schwentke,Ryan Reynolds,,
68,Hideaki Anno,Mark Chinnery,,
2,Gore Verbinski,Johnny Depp,,
125,Matt Birch,Rupert Grint,,
71,Francis Lawrence,Jennifer Lawrence,,
85,Ron Howard,Tom Hanks,,
129,Carlos Saldanha,Miguel Ferrer,,
12,Bryan Singer,Hugh Jackman,,
42,Justin Lin,Paul Walker,,
130,Guy Ritchie,Robert Downey Jr.,,
113,Louis Leterrier,Liam Neeson,,
131,Paul Verhoeven,Ronny Cox,,
132,John McTiernan,Tony Curran,,
133,Tony Gilroy,Jeremy Renner,,
134,Joel Schumacher,Michael Gough,,
85,Ron Howard,Clint Howard,,
43,Roland Emmerich,Jake Gyllenhaal,,
135,John Woo,Tom Cruise,,
73,Wolfgang Petersen,Karen Allen,,
136,Tim Story,Chris Evans,,
107,Ang Lee,Suraj Sharma,,
137,Mark Steven Johnson,Nicolas Cage,,
117,Paul Greengrass,Matt Damon,,
33,McG,Demi Moore,,
19,Ridley Scott,Michael Fassbender,,
98,Rob Minkoff,Nathan Lane,,
138,Neill Blomkamp,Matt Damon,,
139,David Twohy,Vin Diesel,,
140,José Padilha,Gary Oldman,,
45,Lana Wachowski,Scott Porter,,
141,James L. Brooks,Shelley Conn,,
142,James Mangold,Tom Cruise,,
29,Joseph Kosinski,Morgan Freeman,,
143,George Lucas,Natalie Portman,,
143,George Lucas,Natalie Portman,,
46,Pete Docter,Steve Buscemi,,
142,James Mangold,Hugh Jackman,,
143,George Lucas,Natalie Portman,,
144,Kirk De Micco,Ryan Reynolds,,
145,Frédéric Forestier,Alain Delon,,
135,John Woo,Nicolas Cage,,
146,Cedric Nicolas-Troyan,Chris Hemsworth,,
89,Jonathan Liebesman,Noel Fisher,,
123,Alfonso Cuarón,Phaldut Sharma,,
147,Roger Donaldson,Jamie Renée Smith,,
148,Dave Green,Stephen Amell,,
149,Josh Trank,Tim Blake Nelson,,
81,Shawn Levy,Robin Williams,,
150,Brad Peyton,Dwayne Johnson,,
151,Roger Spottiswoode,Vincent Schiavelli,,
43,Roland Emmerich,Heath Ledger,,
152,Steven Soderbergh,Brad Pitt,,
53,Doug Liman,Brad Pitt,,
128,Robert Schwentke,Kate Winslet,,
49,Martin Scorsese,Leonardo DiCaprio,,
47,Rob Letterman,James Corden,,
153,Michel Gondry,Christoph Waltz,,
114,NA,George Peppard,,
154,Noam Murro,Eva Green,,
155,Raja Gosnell,Mahadeo Shivraj,,
156,Will Finn,Steve Buscemi,,
128,Robert Schwentke,Naomi Watts,,
81,Shawn Levy,Hugh Jackman,,
155,Raja Gosnell,Jacob Tremblay,,
157,Jan de Bont,Jason Patric,,
82,Gavin Hood,Harrison Ford,,
158,Len Wiseman,Bruce Willis,,
17,Peter Jackson,Christopher Lee,,
159,Frank Coraci,Jim Broadbent,,
160,Michael Mann,Will Smith,,
161,Bo Welch,Sean Hayes,,
105,Alex Proyas,Will Smith,,
19,Ridley Scott,Liam Neeson,,
98,Rob Minkoff,Chazz Palminteri,,
162,Ron Clements,Oprah Winfrey,,
19,Ridley Scott,Matt Damon,,
163,Christopher Barnard,Mathew Buck,,
28,Michael Bay,Scarlett Johansson,,
164,Peter Chelsom,Del Zamora,,
165,Dominic Sena,Nicolas Cage,,
19,Ridley Scott,Djimon Hounsou,,
39,Steven Spielberg,Tom Cruise,,
127,Chris Columbus,Daniel Radcliffe,,
31,Martin Campbell,Eva Green,,
25,Tim Burton,Cary-Hiroyuki Tagawa,,
1,James Cameron,Joe Morton,,
160,Michael Mann,Johnny Depp,,
19,Ridley Scott,Denzel Washington,,
1,James Cameron,Jamie Lee Curtis,,
166,Tony Scott,Denzel Washington,,
167,Paul Weitz,Robert De Niro,,
168,Adam McKay,Dwayne Johnson,,
169,Chuck Russell,Vanessa Williams,,
170,Quentin Tarantino,Leonardo DiCaprio,,
171,Gary Trousdale,Demi Moore,,
172,Mark Dindal,Eartha Kitt,,
173,Simon West,Jason Statham,,
72,Jon Turteltaub,Nicolas Cage,,
174,Stefen Fangmeier,Djimon Hounsou,,
175,Spike Jonze,Catherine O'Hara,,
97,Joe Wright,Hugh Jackman,,
176,Chris Wedge,Josh Hutcherson,,
177,Florian Henckel von Donnersmarck,Johnny Depp,,
178,Peter Hyams,CCH Pounder,,
104,Edward Zwick,Leonardo DiCaprio,,
49,Martin Scorsese,Leonardo DiCaprio,,
134,Joel Schumacher,Michael Gough,,
131,Paul Verhoeven,Jake Busey,,
179,Tom Tykwer,Tom Hanks,,
11,Zack Snyder,Abbie Cornish,,
180,Pitof,Frances Conroy,,
26,Brett Ratner,Dwayne Johnson,,
162,Ron Clements,Joseph Gordon-Levitt,,
181,Brad Silberling,Will Ferrell,,
182,Patrick Hughes,Jason Statham,,
183,Ericson Core,Ray Winstone,,
184,Lawrence Guterman,Jamie Kennedy,,
85,Ron Howard,Chris Hemsworth,,
185,Ron Underwood,Rosario Dawson,,
117,Paul Greengrass,Matt Damon,,
186,Steve Martino,Francesca Capaldi,,
187,David Mamet,Ben Gazzara,,
55,Stephen Sommers,Dwayne Johnson,,
49,Martin Scorsese,Leonardo DiCaprio,,
188,Yimou Zhang,Christian Bale,,
189,Ash Brannon,Jeff Bridges,,
190,Frank Oz,Jon Lovitz,,
19,Ridley Scott,Ioan Gruffudd,,
191,Jay Roach,Will Ferrell,,
192,Luc Besson,Milla Jovovich,,
193,Michael Patrick King,Chris Noth,,
194,Bibo Bergeron,Frank Welker,,
186,Steve Martino,Peter Dinklage,,
86,Kenneth Branagh,Hayley Atwell,,
17,Peter Jackson,Michael Imperioli,,
6,Andrew Stanton,Alexander Gould,,
17,Peter Jackson,Orlando Bloom,,
17,Peter Jackson,Christopher Lee,,
195,Sergey Bodrov,Jeff Bridges,,
173,Simon West,Angelina Jolie Pitt,,
196,Wally Pfister,Johnny Depp,,
91,Joe Johnston,Michael Jeter,,
197,Rupert Wyatt,James Franco,,
198,Mark Waters,Martin Short,,
199,John Moore,Bruce Willis,,
200,John Lee Hancock,Dennis Quaid,,
62,Brad Bird,Holly Hunter,,
201,Renny Harlin,Christopher Masterson,,
127,Chris Columbus,Logan Lerman,,
16,Barry Sonnenfeld,Will Smith,,
30,John Lasseter,Tom Hanks,,
166,Tony Scott,Denzel Washington,,
26,Brett Ratner,Mei Melançon,,
44,Robert Zemeckis,Harrison Ford,,
202,Phil Lord,Will Forte,,
129,Carlos Saldanha,Denis Leary,,
203,Ben Stiller,Adam Scott,,
33,McG,Bill Murray,,
49,Martin Scorsese,Leonardo DiCaprio,,
204,Tony Bancroft,Ming-Na Wen,,
203,Ben Stiller,Robert Downey Jr.,,
69,David Fincher,Robin Wright,,
132,John McTiernan,Bruce Willis,,
130,Guy Ritchie,Robert Downey Jr.,,
205,Timur Bekmambetov,Morgan Freeman,,
171,Gary Trousdale,Leonard Nimoy,,
206,Walt Becker,Bella Thorne,,
12,Bryan Singer,Tom Cruise,,
207,Dennis Dugan,Adam Sandler,,
127,Chris Columbus,Peter Dinklage,,
39,Steven Spielberg,Haley Joel Osment,,
98,Rob Minkoff,Marsha Thomason,,
44,Robert Zemeckis,Matthew McConaughey,,
131,Paul Verhoeven,Greg Grunberg,,
208,Sydney Pollack,Curtiss Cook,,
209,Thor Freudenthal,Logan Lerman,,
157,Jan de Bont,Gerard Butler,,
108,Jon M. Chu,Daniel Radcliffe,,
121,Phillip Noyce,Alun Armstrong,,
166,Tony Scott,Brad Pitt,,
210,Brian De Palma,Don Cheadle,,
129,Carlos Saldanha,Anne Hathaway,,
127,Chris Columbus,Robin Williams,,
211,Mick Jackson,Don Cheadle,,
212,Alan J. Pakula,Harrison Ford,,
213,Kathryn Bigelow,Liam Neeson,,
149,Josh Trank,Tim Blake Nelson,,
214,John Milius,William Smith,,
85,Ron Howard,Paddy Considine,,
215,Andrey Konchalovskiy,Shirley Henderson,,
216,Gary Ross,Jeff Bridges,,
157,Jan de Bont,Philip Seymour Hoffman,,
50,Rob Cohen,Paul Walker,,
44,Robert Zemeckis,Tom Hanks,,
84,George Miller,Robin Williams,,
117,Paul Greengrass,Matt Damon,,
73,Wolfgang Petersen,Harrison Ford,,
152,Steven Soderbergh,Brad Pitt,,
217,Paul W.S. Anderson,Milla Jovovich,,
218,Genndy Tartakovsky,Steve Buscemi,,
219,Kevin Lima,Jeff Bennett,,
114,NA,Caroline Dhavernas,,
220,Daniel Espinosa,Denzel Washington,,
219,Kevin Lima,Ioan Gruffudd,,
26,Brett Ratner,Matthew Broderick,,
221,Nancy Meyers,Kate Winslet,,
166,Tony Scott,Will Smith,,
221,Nancy Meyers,Meryl Streep,,
152,Steven Soderbergh,Al Pacino,,
222,Roger Allers,Jon Favreau,,
223,Neil Burger,Kate Winslet,,
224,Jean-Jacques Annaud,Bob Hoskins,,
22,Peter Berg,Dwayne Johnson,,
132,John McTiernan,F. Murray Abraham,,
15,Rob Marshall,Li Gong,,
42,Justin Lin,Amber Stevens West,,
225,Sarah Smith,Jim Broadbent,,
226,Martin Brest,Anthony Hopkins,,
227,Andrew Davis,Raymond Cruz,,
228,Bob Fosse,Roy Scheider,,
229,Tarsem Singh,Julia Roberts,,
230,Edgar Wright,Anna Kendrick,,
231,Jon Amiel,Glenn Morshower,,
232,Peter Segal,Larry Miller,,
155,Raja Gosnell,Sarah Michelle Gellar,,
233,Pete Travis,Wood Harris,,
159,Frank Coraci,Adam Sandler,,
234,George A. Romero,Ted Danson,,
150,Brad Peyton,Jack McBrayer,,
53,Doug Liman,Kristen Stewart,,
38,Guillermo del Toro,Seth MacFarlane,,
69,David Fincher,Robert Downey Jr.,,
151,Roger Spottiswoode,Robert Duvall,,
52,Tom Shadyac,Morgan Freeman,,
235,Sylvester Stallone,Jason Statham,,
210,Brian De Palma,Tom Cruise,,
216,Gary Ross,Jennifer Lawrence,,
236,Todd Phillips,Bradley Cooper,,
25,Tim Burton,Michael Gough,,
120,Tim Johnson,Bruce Willis,,
65,Dean DeBlois,Tia Carrere,,
237,Gary Winick,Steve Buscemi,,
238,Mimi Leder,Morgan Freeman,,
103,Dean Parisot,Bruce Willis,,
232,Peter Segal,Adam Sandler,,
61,Mike Mitchell,Amy Poehler,,
207,Dennis Dugan,Steve Buscemi,,
232,Peter Segal,Bill Murray,,
221,Nancy Meyers,Keanu Reeves,,
49,Martin Scorsese,Leonardo DiCaprio,,
239,Seth Gordon,Jon Favreau,,
176,Chris Wedge,Jim Broadbent,,
135,John Woo,Nicolas Cage,,
240,Adam Shankman,Adam Sandler,,
3,Sam Mendes,Tom Hanks,,
207,Dennis Dugan,Adam Sandler,,
114,NA,Elden Henson,,
173,Simon West,Steve Buscemi,,
241,D.J. Caruso,Rosario Dawson,,
242,Anthony Minghella,Philip Seymour Hoffman,,
243,Albert Hughes,Denzel Washington,,
244,Les Mayfield,Robin Williams,,
157,Jan de Bont,Liam Neeson,,
245,Joe Pytka,Bill Murray,,
81,Shawn Levy,Roger Rees,,
246,Scott Derrickson,Keanu Reeves,,
106,Richard Donner,Julia Roberts,,
51,David Ayer,Brad Pitt,,
247,Ivan Reitman,Harrison Ford,,
248,Eric Brevig,Justin Timberlake,,
249,Kelly Asbury,Matt Damon,,
159,Frank Coraci,Rosario Dawson,,
250,Stephen Hopkins,Gary Oldman,,
251,Jonathan Demme,Denzel Washington,,
252,Henry Jaglom,Vanessa Redgrave,,
218,Genndy Tartakovsky,Steve Buscemi,,
114,NA,Elizabeth Montgomery,,
253,James Algar,Quincy Jones,,
95,Simon Wells,Mark Addy,,
185,Ron Underwood,Charlize Theron,,
165,Dominic Sena,Hugh Jackman,,
31,Martin Campbell,Michael Emerson,,
254,Vincent Ward,Robin Williams,,
255,Steven Brill,Adam Sandler,,
256,Terry Gilliam,Matt Damon,,
25,Tim Burton,Natalie Portman,,
257,Lucile Hadzihalilovic,Nissim Renard,,
99,Lee Tamahori,Anthony Hopkins,,
66,Jonathan Mostow,Bruce Willis,,
147,Roger Donaldson,Bruce Greenwood,,
50,Rob Cohen,Sylvester Stallone,,
258,Barry Cook,Charlie Rowe,,
259,Roger Christian,Richard Tyson,,
260,Joe Dante,Brendan Fraser,,
15,Rob Marshall,Fergie,,
106,Richard Donner,Paul Walker,,
261,Kevin Costner,Olivia Williams,,
84,George Miller,Adam Goldberg,,
109,Breck Eisner,Vin Diesel,,
262,Antony Hoffman,Bob Neill,,
192,Luc Besson,Mia Farrow,,
263,Jacques Perrin,Pedro Armendáriz Jr.,,
178,Peter Hyams,David Oyelowo,,
217,Paul W.S. Anderson,Sasha Roiz,,
264,Andrés Couturier,Sariann Monaco,,
85,Ron Howard,Adam Goldberg,,
222,Roger Allers,Matthew Broderick,,
150,Brad Peyton,Josh Hutcherson,,
265,Cody Cameron,Will Forte,,
26,Brett Ratner,Philip Seymour Hoffman,,
91,Joe Johnston,J.K. Simmons,,
207,Dennis Dugan,Al Pacino,,
266,John Singleton,Paul Walker,,
118,Mark Osborne,Jeff Bridges,,
267,Oliver Hirschbiegel,Roger Rees,,
268,Des McAnuff,Robert De Niro,,
269,Yarrow Cheney,Steve Coogan,,
270,Stephen Norrington,Jason Flemyng,,
271,Pierre Coffin,Steve Carell,,
43,Roland Emmerich,Will Smith,,
39,Steven Spielberg,Ariana Richards,,
80,Eric Darnell,Jada Pinkett Smith,,
123,Alfonso Cuarón,Charlie Hunnam,,
12,Bryan Singer,Hugh Jackman,,
205,Timur Bekmambetov,Angelina Jolie Pitt,,
28,Michael Bay,Nicolas Cage,,
129,Carlos Saldanha,Denis Leary,,
232,Peter Segal,Adam Sandler,,
240,Adam Shankman,Jerry Stiller,,
201,Renny Harlin,James D'Arcy,,
272,David Kellogg,Matthew Broderick,,
113,Louis Leterrier,Morgan Freeman,,
207,Dennis Dugan,Steve Buscemi,,
39,Steven Spielberg,Tom Hanks,,
114,NA,Harold Perrineau,,
209,Thor Freudenthal,Don Cheadle,,
31,Martin Campbell,Nicholas Lea,,
273,Mike Nichols,Philip Seymour Hoffman,,
194,Bibo Bergeron,Robert De Niro,,
112,Bill Condon,Loretta Devine,,
114,NA,Adam Arkin,,
274,F. Gary Gray,Dwayne Johnson,,
39,Steven Spielberg,Ayelet Zurer,,
275,Antoine Fuqua,Bruce Willis,,
276,Robert Luketic,Tom Selleck,,
130,Guy Ritchie,Henry Cavill,,
141,James L. Brooks,Adam Sandler,,
277,Gil Kenan,Steve Buscemi,,
278,Barry Levinson,Bruce Willis,,
279,Jerry Zucker,Julia Ormond,,
280,Andy Tennant,Bai Ling,,
229,Tarsem Singh,Henry Cavill,,
281,Florent-Emilio Siri,Jimmy Bennett,,
282,Don Bluth,Matt Damon,,
283,Ron Shelton,Harrison Ford,,
217,Paul W.S. Anderson,Connie Nielsen,,
284,David Pastor,Christopher Meloni,,
285,Henry Selick,Brendan Fraser,,
199,John Moore,Dennis Quaid,,
94,M. Night Shyamalan,Robin Wright,,
286,Kyle Balda,Steve Carell,,
11,Zack Snyder,Jon Hamm,,
210,Brian De Palma,Nicolas Cage,,
278,Barry Levinson,Peter Coyote,,
287,Clay Kaytis,Peter Dinklage,,
280,Andy Tennant,Matthew McConaughey,,
288,Judd Apatow,Adam Sandler,,
22,Peter Berg,Jennifer Garner,,
168,Adam McKay,Will Ferrell,,
289,Steve Carr,Raven-Symoné,,
290,Mel Gibson,Mhairi Calvey,,
3,Sam Mendes,Jake Gyllenhaal,,
291,David Silverman,Albert Brooks,,
292,Frank Darabont,Martin Landau,,
201,Renny Harlin,Sylvester Stallone,,
224,Jean-Jacques Annaud,David Gant,,
94,M. Night Shyamalan,Bryce Dallas Howard,,
293,Betty Thomas,Oliver Platt,,
94,M. Night Shyamalan,Rory Culkin,,
14,Andrew Adamson,Rupert Everett,,
30,John Lasseter,John Ratzenberger,,
294,Garry Marshall,Julia Roberts,,
50,Rob Cohen,Vin Diesel,,
295,Paul Tibbitt,Tim Conway,,
85,Ron Howard,Lili Taylor,,
170,Quentin Tarantino,Michael Fassbender,,
39,Steven Spielberg,Robin Williams,,
26,Brett Ratner,Dwayne Johnson,,
201,Renny Harlin,Bruce Willis,,
296,Clark Johnson,Jeremy Renner,,
114,NA,Nicole Beharie,,
297,Cameron Crowe,Tom Cruise,,
94,M. Night Shyamalan,Bryce Dallas Howard,,
217,Paul W.S. Anderson,Sanaa Lathan,,
293,Betty Thomas,Amy Poehler,,
298,Randall Wallace,Jon Hamm,,
275,Antoine Fuqua,Gerard Butler,,
299,Jonathan Frakes,LeVar Burton,,
89,Jonathan Liebesman,Noel Fisher,,
25,Tim Burton,Steve Buscemi,,
273,Mike Nichols,David Hyde Pierce,,
39,Steven Spielberg,Jeremy Irvine,,
300,George Clooney,Bill Murray,,
1,James Cameron,Michael Biehn,,
79,Oliver Stone,Frank Langella,,
301,Gary Shore,Dominic Cooper,,
104,Edward Zwick,Denzel Washington,,
70,Matthew Vaughn,Henry Cavill,,
224,Jean-Jacques Annaud,Brad Pitt,,
85,Ron Howard,Channing Tatum,,
134,Joel Schumacher,Anthony Hopkins,,
302,Andrzej Bartkowiak,Dwayne Johnson,,
293,Betty Thomas,Gary Cole,,
303,Måns Mårlind,Theo James,,
240,Adam Shankman,James Martin Kelly,,
304,Gregory Hoblit,Bruce Willis,,
305,Gary McKendry,Jason Statham,,
132,John McTiernan,LL Cool J,,
306,Wych Kaosayananda,Talisa Soto,,
307,Mikael Salomon,Morgan Freeman,,
308,Bobby Farrelly,Ron Howard,,
156,Will Finn,Lea Michele,,
160,Michael Mann,Chris Hemsworth,,
309,Kerry Conran,Angelina Jolie Pitt,,
310,Michael Caton-Jones,Charlotte Rampling,,
311,Mikael Håfström,Sylvester Stallone,,
201,Renny Harlin,Roxanne McKee,,
312,Phil Alden Robinson,Morgan Freeman,,
313,David Slade,Robert Pattinson,,
190,Frank Oz,Robert De Niro,,
271,Pierre Coffin,Steve Carell,,
314,Joseph Ruben,Vincent Pastore,,
315,Seth MacFarlane,Liam Neeson,,
316,Alejandro Amenábar,Max Minghella,,
317,Kinka Usher,Janeane Garofalo,,
308,Bobby Farrelly,Jenna Fischer,,
160,Michael Mann,Al Pacino,,
318,Craig Gillespie,Michael Raymond-James,,
19,Ridley Scott,Leonardo DiCaprio,,
191,Jay Roach,Steve Carell,,
205,Timur Bekmambetov,Rufus Sewell,,
231,Jon Amiel,Will Patton,,
114,NA,Hector Elizondo,,
319,Rob Bowman,Martin Landau,,
320,Doug Lefler,Colin Firth,,
39,Steven Spielberg,Tom Hanks,,
321,Scott Waugh,Rami Malek,,
221,Nancy Meyers,Judy Greer,,
176,Chris Wedge,Goran Visnjic,,
322,Lawrence Kasdan,Morgan Freeman,,
39,Steven Spielberg,Joseph Gordon-Levitt,,
45,Lana Wachowski,Keanu Reeves,,
85,Ron Howard,Tom Hanks,,
131,Paul Verhoeven,Ronny Cox,,
323,Michael Lembeck,Judge Reinhold,,
324,Tom Hooper,Hugh Jackman,,
325,Nora Ephron,Tom Hanks,,
168,Adam McKay,Will Ferrell,,
31,Martin Campbell,Anthony Hopkins,,
236,Todd Phillips,Robert Downey Jr.,,
326,Angelina Jolie Pitt,Finn Wittrock,,
327,Clint Eastwood,Clint Eastwood,,
